;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.783";"1.018";"1.022";"954";"920";"794";"754";"857";"940";"995";"1.026";"1.086";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.617";"1.456";"1.474";"1.376";"1.287";"1.203";"1.160";"834";"624";"749";"791";"790";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"3.479";"3.488";"3.506";"3.558";"3.553";"3.542";"3.414";"3.299";"2.745";"1.923";"1.870";"1.843";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"3.214";"3.905";"3.751";"3.719";"3.618";"3.562";"3.410";"3.482";"3.979";"3.989";"3.918";"3.834";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"579";"697";"763";"854";"946";"1.025";"1.140";"1.286";"1.280";"1.821";"1.840";"1.926";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"226";"163";"138";"142";"132";"110";"84";"66";"116";"225";"290";"316";
;;"       In sonstigen Bereichen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"12.268";"12.839";"13.780";"15.507";"16.115";"17.488";"16.749";"16.444";"18.822";"21.872";"22.482";"22.485";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"2.940";"2.186";"2.031";"2.572";"2.470";"2.499";"2.039";"912";"741";"790";"959";"1.013";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"2.162";"2.220";"2.486";"3.009";"3.168";"3.571";"3.321";"2.118";"1.494";"1.291";"1.277";"1.225";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"3.318";"3.729";"4.093";"4.587";"4.899";"5.498";"5.523";"6.286";"6.627";"5.113";"4.891";"4.570";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"2.095";"3.027";"3.380";"3.460";"3.547";"3.664";"3.521";"4.132";"5.764";"7.402";"7.508";"7.478";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"514";"617";"777";"910";"1.041";"1.233";"1.361";"1.791";"1.922";"3.135";"3.273";"3.307";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"1.239";"1.060";"1.013";"969";"990";"1.023";"984";"1.205";"2.274";"4.141";"4.574";"4.892";
;;"    Ohne ärztliche Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"53.565";"61.468";"64.221";"68.117";"70.695";"72.225";"74.643";"92.985";"105.491";"114.516";"117.633";"120.865";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"7.463";"8.167";"8.767";"9.201";"8.570";"7.625";"7.303";"7.558";"7.954";"8.814";"8.914";"8.806";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"3.931";"5.011";"5.501";"6.393";"6.882";"6.686";"6.901";"6.889";"5.355";"5.442";"5.533";"5.811";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"4.867";"5.679";"6.209";"7.061";"7.443";"7.659";"8.047";"10.314";"8.978";"6.870";"6.780";"6.660";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"4.020";"5.380";"5.464";"5.692";"5.951";"6.009";"6.019";"6.690";"7.301";"6.974";"7.079";"7.125";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"3.674";"4.961";"5.685";"6.430";"7.611";"8.899";"9.892";"13.291";"9.063";"9.627";"9.128";"8.906";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"29.610";"32.270";"32.595";"33.340";"34.238";"35.347";"36.481";"48.243";"66.840";"76.789";"80.199";"83.557";
;"    Baden-Württemberg";" Tätigkeitsbereiche insgesamt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"25.225";"39.587";"43.715";"44.549";"45.770";"46.856";"47.573";"48.503";"53.003";"57.960";"64.137";"65.420";"66.673";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"6.277";"9.365";"9.206";"8.870";"8.696";"8.452";"8.038";"7.943";"7.641";"8.431";"10.525";"10.807";"10.987";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"4.683";"5.924";"6.554";"6.882";"7.395";"7.680";"7.787";"7.738";"6.522";"5.722";"6.366";"6.442";"6.822";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"4.352";"10.718";"11.825";"12.221";"12.374";"12.615";"12.699";"12.888";"14.650";"14.345";"12.390";"12.361";"12.154";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"4.263";"5.767";"8.103";"8.401";"8.885";"9.343";"9.798";"10.197";"11.681";"12.834";"14.509";"14.690";"14.834";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.427";"1.620";"1.805";"2.058";"2.334";"2.705";"3.222";"3.717";"5.303";"6.172";"7.234";"7.090";"7.022";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"3.223";"6.193";"6.222";"6.117";"6.086";"6.061";"6.029";"6.020";"7.206";"10.456";"13.113";"14.030";"14.854";
;;"    Mit ärztlicher Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"20.911";"30.810";"34.528";"35.154";"35.879";"36.521";"37.114";"37.606";"39.772";"43.196";"47.723";"48.606";"49.348";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"5.708";"8.035";"8.094";"7.750";"7.502";"7.325";"7.042";"6.944";"6.398";"7.231";"9.000";"9.215";"9.374";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"4.160";"5.228";"5.805";"6.034";"6.418";"6.594";"6.721";"6.591";"5.397";"4.780";"5.307";"5.414";"5.697";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"3.992";"9.773";"10.868";"11.212";"11.257";"11.435";"11.489";"11.602";"12.949";"12.743";"10.893";"10.861";"10.634";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"3.743";"5.184";"7.371";"7.648";"8.098";"8.498";"8.932";"9.293";"10.654";"11.673";"13.214";"13.333";"13.468";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.952";"1.143";"1.273";"1.464";"1.628";"1.834";"2.205";"2.520";"3.556";"4.879";"5.819";"5.829";"5.838";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.356";"1.447";"1.117";"1.046";"976";"835";"725";"656";"818";"1.890";"3.490";"3.954";"4.337";
;;"       Ambulant";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"9.288";"13.088";"15.652";"15.991";"16.414";"16.838";"16.316";"17.306";"18.131";"18.531";"19.480";"19.599";"19.739";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"462";"715";"892";"782";"751";"764";"438";"649";"398";"286";"476";"474";"515";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.743";"1.716";"2.030";"2.047";"2.135";"2.168";"1.861";"1.995";"1.394";"889";"1.005";"984";"1.072";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.108";"5.685";"6.344";"6.487";"6.483";"6.571";"6.292";"6.328";"6.419";"5.686";"4.620";"4.467";"4.322";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.288";"3.066";"4.678";"4.893";"5.219";"5.493";"5.803";"6.187";"6.882";"6.960";"7.368";"7.382";"7.392";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.458";"677";"753";"889";"989";"1.144";"1.349";"1.603";"2.370";"3.323";"3.705";"3.652";"3.565";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.229";"1.229";"955";"893";"837";"698";"573";"544";"668";"1.387";"2.306";"2.640";"2.873";
;;"          Niedergelassen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"9.288";"12.246";"14.459";"14.673";"14.976";"15.170";"15.440";"15.714";"16.562";"16.431";"15.774";"15.612";"15.416";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"462";"349";"349";"264";"226";"176";"162";"159";"71";"53";"33";"23";"28";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.743";"1.495";"1.744";"1.668";"1.665";"1.660";"1.577";"1.460";"954";"488";"357";"313";"336";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.108";"5.501";"6.104";"6.199";"6.165";"6.158";"6.057";"5.912";"5.822";"4.812";"3.288";"3.030";"2.801";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.288";"3.022";"4.579";"4.784";"5.120";"5.376";"5.744";"6.071";"6.725";"6.596";"6.636";"6.590";"6.514";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.458";"666";"739";"875";"971";"1.118";"1.332";"1.580";"2.336";"3.218";"3.442";"3.366";"3.256";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.229";"1.213";"944";"883";"829";"682";"568";"532";"654";"1.264";"2.018";"2.290";"2.481";
;;"          Angestellt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"842";"1.193";"1.318";"1.438";"1.668";"876";"1.592";"1.569";"2.100";"3.706";"3.987";"4.323";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"366";"543";"518";"525";"588";"276";"490";"327";"233";"443";"451";"487";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"221";"286";"379";"470";"508";"284";"535";"440";"401";"648";"671";"736";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"184";"240";"288";"318";"413";"235";"416";"597";"874";"1.332";"1.437";"1.521";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"44";"99";"109";"99";"117";"59";"116";"157";"364";"732";"792";"878";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"11";"14";"14";"18";"26";"17";"23";"34";"105";"263";"286";"309";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"16";"11";"10";"8";"16";"5";"12";"14";"123";"288";"350";"392";
;;"       Stationär";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"10.074";"15.354";"16.625";"16.845";"17.024";"17.062";"17.365";"18.370";"18.365";"20.993";"23.852";"24.522";"25.039";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"4.881";"6.850";"6.907";"6.690";"6.465";"6.239";"6.051";"6.123";"5.700";"6.731";"8.289";"8.499";"8.605";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.226";"3.124";"3.412";"3.612";"3.863";"3.968";"4.158";"4.263";"3.559";"3.611";"4.039";"4.161";"4.379";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.648";"3.330";"3.750";"3.909";"3.915";"3.947";"4.078";"4.610";"5.313";"5.813";"5.357";"5.517";"5.462";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"974";"1.624";"2.065";"2.106";"2.207";"2.304";"2.345";"2.543";"2.889";"3.573";"4.459";"4.540";"4.668";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"282";"343";"415";"463";"516";"548";"672";"770";"866";"1.149";"1.454";"1.531";"1.604";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"63";"83";"76";"65";"58";"56";"61";"61";"38";"116";"254";"274";"321";
;;"       In Behörden/Körperschaften u. a.";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"659";"897";"920";"940";"966";"897";"898";"858";"1.189";"1.245";"1.291";"1.286";"1.312";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"32";"88";"36";"41";"39";"31";"24";"59";"146";"139";"146";"141";"152";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"75";"130";"106";"104";"102";"80";"83";"129";"136";"111";"102";"107";"91";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"99";"345";"371";"377";"384";"370";"356";"303";"405";"378";"304";"291";"301";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"300";"255";"337";"342";"360";"336";"336";"292";"392";"465";"506";"512";"503";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"129";"52";"50";"56";"58";"60";"79";"71";"110";"146";"216";"205";"228";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"24";"27";"20";"20";"23";"20";"20";"4";"";"6";"17";"30";"37";
;;"       In sonstigen Bereichen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"890";"1.471";"1.331";"1.378";"1.475";"1.724";"2.535";"1.072";"2.087";"2.427";"3.100";"3.199";"3.258";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"333";"382";"259";"237";"247";"291";"529";"113";"154";"75";"89";"101";"102";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"116";"258";"257";"271";"318";"378";"619";"204";"308";"169";"161";"162";"155";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"137";"413";"403";"439";"475";"547";"763";"361";"812";"866";"612";"586";"549";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"181";"239";"291";"307";"312";"365";"448";"271";"491";"675";"881";"899";"905";
