

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36406946D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Geschlecht:;Beide Geschlechter
Tätigkeitsbereich:;Tätigkeitsbereiche insgesamt
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"    Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"6.352";"6.562";"6.843";"7.009";"7.201";"7.422";"7.627";"7.789";"7.892";"7.980";"8.108";"8.220";"8.358";"8.485";"8.613";"8.749";"8.877";"9.018";"9.185";"9.274";"9.427";"9.545";"9.711";"9.845";"9.983";"10.160";"10.328";
;"       Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"6.352";"6.562";"6.843";"7.009";"7.201";"7.422";"7.627";"7.789";"7.892";"7.980";"8.108";"8.220";"8.358";"8.485";"8.613";"8.749";"8.877";"9.018";"9.185";"9.274";"9.427";"9.545";"9.711";"9.845";"9.983";"10.160";"10.328";
;"    Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"62";"82";"76";"77";"85";"88";"98";"115";"118";"115";"115";"116";"110";"106";"104";"106";"105";"109";"102";"102";"103";"101";"103";"96";"97";"96";"94";
;"       Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"62";"82";"76";"77";"85";"88";"98";"115";"118";"115";"115";"116";"110";"106";"104";"106";"105";"109";"102";"102";"103";"101";"103";"96";"97";"96";"94";
;"    Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"21.632";"22.442";"23.223";"24.040";"24.524";"25.959";"26.718";"27.650";"28.589";"29.469";"30.481";"31.492";"32.603";"33.652";"34.640";"35.681";"36.701";"37.662";"38.674";"39.708";"40.791";"41.941";"42.965";"43.854";"44.897";"46.033";"47.290";
;"       Allgemeinchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"15.326";"15.845";"16.315";"16.794";"17.052";"17.997";"18.335";"18.857";"19.371";"19.903";"20.576";"21.161";"21.807";"22.417";"22.905";"23.146";"23.095";"23.070";"22.958";"22.985";"22.773";"22.672";"22.467";"22.164";"21.727";"21.401";"21.146";
;"       Gefäßchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"24";"52";"101";"166";"247";"342";"414";"526";"620";"768";"889";"1.032";
;"       Herzchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"7";"15";"17";"24";"57";"102";"172";"214";"270";"322";"380";"455";"540";"596";"642";"676";"719";"777";"830";"874";"917";"966";"986";"1.017";"1.068";"1.107";"1.165";
;"       Kinderchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"122";"115";"126";"142";"160";"188";"237";"268";"291";"338";"357";"388";"410";"429";"457";"474";"502";"526";"547";"577";"610";"656";"677";"699";"734";"769";"804";
;"       Orthopädie und Unfallchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"6.177";"6.467";"6.765";"7.065";"7.219";"7.572";"7.824";"8.125";"8.432";"8.632";"8.861";"9.118";"9.413";"9.731";"10.097";"10.746";"11.583";"12.278";"13.042";"13.709";"14.625";"15.380";"16.071";"16.683";"17.455";"18.223";"18.954";
;"       Plastische und Ästhetische Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"15";"36";"100";"150";"186";"225";"274";"307";"370";"433";"479";"532";"572";"636";"696";"769";"853";"916";"1.014";"1.117";"1.197";"1.247";"1.315";"1.417";
;"       Thoraxchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"9";"21";"38";"51";"77";"111";"134";"170";"199";"241";"266";"314";
;"       Viszeralchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"34";"93";"176";"311";"386";"497";"705";"951";"1.275";"1.657";"2.063";"2.458";
;"    Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"13.903";"14.383";"14.962";"15.377";"15.789";"16.214";"16.839";"17.331";"17.801";"18.223";"18.686";"19.189";"19.634";"20.050";"20.504";"20.933";"21.367";"21.778";"22.231";"22.623";"23.040";"23.468";"23.859";"24.322";"24.701";"25.142";"25.515";
;"       Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"13.903";"14.383";"14.962";"15.377";"15.789";"16.214";"16.839";"17.331";"17.801";"18.223";"18.686";"19.189";"19.634";"20.050";"20.504";"20.933";"21.367";"21.778";"22.231";"22.623";"23.040";"23.468";"23.859";"24.322";"24.701";"25.142";"25.515";
;"    Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"5.241";"5.385";"5.613";"5.747";"5.891";"6.096";"6.239";"6.408";"6.500";"6.607";"6.742";"6.878";"7.014";"7.096";"7.203";"7.325";"7.450";"7.531";"7.652";"7.719";"7.834";"7.969";"8.056";"8.215";"8.332";"8.421";"8.529";
;"       Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"5.241";"5.385";"5.613";"5.747";"5.880";"6.043";"6.174";"6.330";"6.406";"6.491";"6.610";"6.727";"6.856";"6.921";"7.007";"7.135";"7.251";"7.320";"7.426";"7.491";"7.594";"7.722";"7.796";"7.946";"8.056";"8.139";"8.238";
;"       Sprach-, Stimm- und kindliche Hörstörungen";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"11";"53";"65";"78";"94";"116";"132";"151";"158";"175";"196";"190";"199";"211";"226";"228";"240";"247";"260";"269";"276";"282";"291";
;"    Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"4.358";"4.548";"4.731";"4.908";"5.021";"5.289";"5.440";"5.581";"5.739";"5.854";"6.029";"6.178";"6.335";"6.469";"6.631";"6.785";"6.896";"7.010";"7.101";"7.197";"7.316";"7.456";"7.555";"7.640";"7.745";"7.891";"7.983";
;"       Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"4.358";"4.548";"4.731";"4.908";"5.021";"5.289";"5.440";"5.581";"5.739";"5.854";"6.029";"6.178";"6.335";"6.469";"6.631";"6.785";"6.896";"7.010";"7.101";"7.197";"7.316";"7.456";"7.555";"7.640";"7.745";"7.891";"7.983";
;"    Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"14";"14";"21";"39";"75";"120";"145";"160";"169";"190";"191";"210";"211";"233";"249";"258";"274";"290";"308";"323";"339";"356";"374";"380";"392";"405";"430";
;"       Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"14";"14";"21";"39";"75";"120";"145";"160";"169";"190";"191";"210";"211";"233";"249";"258";"274";"290";"308";"323";"339";"356";"374";"380";"392";"405";"430";
;"    Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"395";"412";"471";"404";"417";"408";"418";"427";"425";"431";"433";"421";"424";"424";"423";"438";"441";"442";"441";"441";"442";"447";"433";"439";"434";"440";"445";
;"       Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"395";"412";"471";"404";"417";"408";"418";"427";"425";"431";"433";"421";"424";"424";"423";"438";"441";"442";"441";"441";"442";"447";"433";"439";"434";"440";"445";
;"    Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"35.221";"36.473";"37.724";"38.608";"39.117";"40.900";"42.101";"43.238";"44.354";"45.350";"46.672";"47.854";"49.266";"50.589";"51.755";"52.979";"54.220";"55.436";"56.764";"58.289";"60.153";"61.999";"63.405";"64.742";"66.403";"68.135";"69.846";
;"       Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"33.695";"34.982";"36.289";"37.247";"37.737";"39.542";"40.771";"41.935";"43.107";"44.183";"45.497";"46.736";"48.177";"49.525";"50.727";"51.883";"53.007";"54.042";"55.094";"56.242";"57.601";"58.778";"59.407";"59.894";"60.449";"61.136";"61.449";
;"       Innere Medizin und Angiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"6";"8";"13";"27";"42";"58";"74";"91";"121";"159";"189";"215";
;"       Innere Medizin und Endokrinologie und Diabetologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"13";"26";"35";"44";"50";"71";"98";"118";"136";"160";"193";"233";
;"       Innere Medizin und Gastroenterologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11";"27";"53";"93";"152";"219";"309";"424";"573";"692";"877";"1.054";"1.298";
;"       Innere Medizin und Geriatrie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"7";"11";"29";"44";"59";"73";"83";"91";"97";"103";
;"       Innere Medizin und Hämatologie und Onkologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"15";"30";"58";"80";"125";"186";"262";"360";"456";"600";"720";"916";
;"       Innere Medizin und Kardiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"35";"78";"142";"246";"393";"587";"851";"1.147";"1.487";"1.965";"2.408";"2.964";
;"       Innere Medizin und Nephrologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"16";"32";"60";"98";"140";"213";"296";"388";"467";"556";"675";"808";
;"       Innere Medizin und Pneumologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.526";"1.491";"1.435";"1.361";"1.380";"1.358";"1.330";"1.303";"1.247";"1.167";"1.175";"1.118";"1.089";"1.063";"996";"978";"966";"963";"978";"1.001";"1.016";"1.064";"1.132";"1.242";"1.340";"1.419";"1.576";
;"       Innere Medizin und Rheumatologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"6";"15";"23";"34";"48";"68";"93";"116";"164";"206";"244";"284";
;"    Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"12.187";"12.502";"12.844";"13.141";"13.386";"13.747";"14.084";"14.353";"14.637";"14.851";"15.141";"15.420";"15.808";"16.146";"16.475";"16.871";"17.295";"17.689";"18.110";"18.515";"18.944";"19.400";"19.791";"20.204";"20.613";"21.063";"21.455";
;"       Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"12.187";"12.502";"12.844";"13.141";"13.386";"13.747";"14.084";"14.353";"14.637";"14.851";"15.141";"15.420";"15.808";"16.146";"16.475";"16.871";"17.295";"17.689";"18.110";"18.515";"18.944";"19.400";"19.791";"20.204";"20.613";"21.063";"21.455";
;"    Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"603";"665";"744";"741";"781";"862";"935";"1.052";"1.108";"1.192";"1.277";"1.340";"1.401";"1.494";"1.576";"1.659";"1.738";"1.847";"1.947";"2.067";"2.200";"2.289";"2.395";"2.502";"2.629";"2.746";"2.889";
;"       Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"603";"665";"744";"741";"781";"862";"935";"1.052";"1.108";"1.192";"1.277";"1.340";"1.401";"1.494";"1.576";"1.659";"1.738";"1.847";"1.947";"2.067";"2.200";"2.289";"2.395";"2.502";"2.629";"2.746";"2.889";
;"    Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.031";"1.060";"1.083";"1.117";"1.149";"1.187";"1.210";"1.215";"1.223";"1.223";"1.266";"1.294";"1.326";"1.338";"1.351";"1.351";"1.384";"1.422";"1.450";"1.449";"1.477";"1.501";"1.515";"1.524";"1.544";"1.571";"1.585";
;"       Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.031";"1.060";"1.083";"1.117";"1.149";"1.187";"1.210";"1.215";"1.223";"1.223";"1.266";"1.294";"1.326";"1.338";"1.351";"1.351";"1.384";"1.422";"1.450";"1.449";"1.477";"1.501";"1.515";"1.524";"1.544";"1.571";"1.585";
;"    Mikrobiologie, Virologie, Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"547";"575";"605";"626";"644";"697";"722";"757";"774";"813";"840";"856";"886";"897";"921";"941";"959";"985";"993";"1.007";"1.029";"1.050";"1.067";"1.079";"1.097";"1.109";"1.143";
;"       Mikrobiologie, Virologie und Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"547";"575";"605";"626";"644";"697";"722";"757";"774";"813";"840";"856";"886";"897";"921";"941";"959";"985";"993";"1.007";"1.029";"1.050";"1.067";"1.079";"1.097";"1.109";"1.143";
;"    Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"783";"856";"918";"988";"1.030";"1.099";"1.156";"1.211";"1.256";"1.310";"1.357";"1.416";"1.469";"1.539";"1.603";"1.656";"1.715";"1.782";"1.819";"1.845";"1.889";"1.930";"1.987";"2.025";"2.052";"2.103";"2.150";
;"       Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"783";"856";"918";"988";"1.030";"1.099";"1.156";"1.211";"1.256";"1.310";"1.357";"1.416";"1.469";"1.539";"1.603";"1.656";"1.715";"1.782";"1.819";"1.845";"1.889";"1.930";"1.987";"2.025";"2.052";"2.103";"2.150";
;"    Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"7.543";"7.671";"7.859";"7.927";"7.793";"7.654";"7.383";"7.190";"6.870";"6.750";"6.690";"6.538";"6.461";"6.366";"6.283";"6.213";"6.128";"6.069";"6.002";"5.947";"5.878";"5.831";"5.730";"5.614";"5.506";"5.410";"5.311";
;"       Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"7.543";"7.671";"7.859";"7.927";"7.793";"7.654";"7.383";"7.190";"6.870";"6.750";"6.690";"6.538";"6.461";"6.366";"6.283";"6.213";"6.128";"6.069";"6.002";"5.947";"5.878";"5.831";"5.730";"5.614";"5.506";"5.410";"5.311";
;"    Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"591";"642";"697";"749";"797";"842";"898";"956";"1.023";"1.071";"1.160";"1.238";"1.336";"1.395";"1.476";"1.561";"1.630";"1.692";"1.773";"1.849";"1.950";"2.058";"2.148";"2.250";"2.369";"2.487";"2.593";
;"       Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"591";"642";"697";"749";"797";"842";"898";"956";"1.023";"1.071";"1.160";"1.238";"1.336";"1.395";"1.476";"1.561";"1.630";"1.692";"1.773";"1.849";"1.950";"2.058";"2.148";"2.250";"2.369";"2.487";"2.593";
;"    Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.142";"1.278";"1.422";"1.536";"1.675";"1.770";"1.982";"2.190";"2.538";"2.489";"2.738";"2.982";"3.255";"3.695";"4.000";"4.183";"4.515";"4.771";"5.083";"5.361";"5.647";"5.981";"6.361";"6.738";"7.106";"7.516";"7.918";
;"       Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.142";"1.278";"1.422";"1.536";"1.675";"1.770";"1.982";"2.190";"2.538";"2.489";"2.738";"2.982";"3.255";"3.695";"4.000";"4.183";"4.515";"4.771";"5.083";"5.361";"5.647";"5.981";"6.361";"6.738";"7.106";"7.516";"7.918";
;"    Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"495";"534";"593";"624";"672";"702";"751";"854";"896";"976";"1.016";"1.062";"1.121";"1.143";"1.192";"1.229";"1.255";"1.294";"1.333";"1.364";"1.388";"1.420";"1.461";"1.489";"1.514";"1.549";"1.574";
;"       Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"495";"534";"593";"624";"672";"702";"751";"854";"896";"976";"1.016";"1.062";"1.121";"1.143";"1.192";"1.229";"1.255";"1.294";"1.333";"1.364";"1.388";"1.420";"1.461";"1.489";"1.514";"1.549";"1.574";
;"    Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"914";"969";"1.154";"1.194";"1.178";"1.320";"1.347";"1.414";"1.424";"1.475";"1.466";"1.513";"1.538";"1.550";"1.552";"1.561";"1.574";"1.571";"1.570";"1.582";"1.586";"1.595";"1.610";"1.611";"1.602";"1.600";"1.602";
;"       Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"914";"969";"1.154";"1.194";"1.178";"1.320";"1.347";"1.414";"1.424";"1.475";"1.466";"1.513";"1.538";"1.550";"1.552";"1.561";"1.574";"1.571";"1.570";"1.582";"1.586";"1.595";"1.610";"1.611";"1.602";"1.600";"1.602";
;"    Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.285";"1.336";"1.372";"1.415";"1.469";"1.506";"1.529";"1.593";"1.639";"1.689";"1.742";"1.790";"1.819";"1.880";"1.899";"1.967";"1.985";"2.030";"2.087";"2.121";"2.166";"2.198";"2.247";"2.279";"2.312";"2.354";"2.413";
;"       Neuropathologie";".";".";".";".";".";".";".";".";".";".";".";".";"20";"22";"33";"38";"41";"52";"52";"61";"63";"76";"82";"87";"86";"95";"101";"110";"114";"121";"122";"130";"136";"132";"134";"134";"131";"136";"137";
;"       Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.265";"1.314";"1.339";"1.377";"1.428";"1.454";"1.477";"1.532";"1.576";"1.613";"1.660";"1.703";"1.733";"1.785";"1.798";"1.857";"1.871";"1.909";"1.965";"1.991";"2.030";"2.066";"2.113";"2.145";"2.181";"2.218";"2.276";
;"    Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"546";"564";"572";"587";"610";"627";"632";"648";"663";"682";"693";"700";"703";"730";"733";"749";"745";"748";"752";"763";"772";"776";"787";"793";"783";"771";"756";
;"       Klinische Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"66";"76";"94";"115";"129";"153";"166";"176";"187";"217";"231";"240";"246";"270";"273";"289";"295";"295";"306";"318";"323";"328";"338";"353";"350";"342";"339";
;"       Pharmakologie und Toxikologie";".";".";".";".";".";".";".";".";".";".";".";".";"480";"488";"478";"472";"481";"474";"466";"472";"476";"465";"462";"460";"457";"460";"460";"460";"450";"453";"446";"445";"449";"448";"449";"440";"433";"429";"417";
;"    Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"305";"325";"328";"388";"565";"948";"1.261";"1.455";"1.569";"1.805";"1.834";"1.913";"1.971";"2.018";"2.051";"2.083";"2.095";"2.159";"2.191";"2.254";"2.325";"2.379";"2.428";"2.486";"2.538";"2.587";"2.616";
;"       Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"305";"325";"328";"388";"565";"948";"1.261";"1.455";"1.569";"1.805";"1.834";"1.913";"1.971";"2.018";"2.051";"2.083";"2.095";"2.159";"2.191";"2.254";"2.325";"2.379";"2.428";"2.486";"2.538";"2.587";"2.616";
;"    Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"124";"129";"123";"127";"142";"158";"165";"166";"170";"162";"164";"162";"165";"168";"171";"171";"169";"170";"176";"175";"181";"186";"193";"188";"186";"186";"191";
;"       Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"124";"129";"123";"127";"142";"158";"165";"166";"170";"162";"164";"162";"165";"168";"171";"171";"169";"170";"176";"175";"181";"186";"193";"188";"186";"186";"191";
;"    Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"1.760";"2.014";"2.294";"2.592";"2.842";"3.235";"3.674";"4.075";"4.545";"5.145";"5.646";"6.113";"6.581";"7.009";"7.505";"7.907";"8.316";"8.728";"9.210";"9.629";"10.107";"10.575";"10.918";"11.314";"11.622";"12.052";"12.444";
;"       Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"1.760";"2.014";"2.294";"2.592";"2.842";"3.235";"3.674";"4.075";"4.545";"5.145";"5.646";"6.113";"6.581";"7.009";"7.505";"7.907";"8.316";"8.728";"9.210";"9.629";"10.107";"10.575";"10.918";"11.314";"11.622";"12.052";"12.444";
;"    Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"51";"61";"57";"178";"533";"1.392";"2.225";"2.959";"3.252";"3.679";"3.710";"3.873";"4.012";"4.110";"4.196";"4.264";"4.354";"4.450";"4.543";"4.637";"4.747";"4.851";"4.946";"5.041";"5.110";"5.183";"5.248";
;"       Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"51";"61";"57";"178";"533";"1.392";"2.225";"2.959";"3.252";"3.679";"3.710";"3.873";"4.012";"4.110";"4.196";"4.264";"4.354";"4.450";"4.543";"4.637";"4.747";"4.851";"4.946";"5.041";"5.110";"5.183";"5.248";
;"    Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"5.412";"5.651";"5.940";"6.113";"5.969";"6.615";"6.850";"7.109";"7.326";"7.356";"7.729";"7.918";"8.126";"8.287";"8.483";"8.634";"8.890";"9.085";"9.271";"9.487";"9.735";"10.005";"10.256";"10.525";"10.747";"11.101";"11.465";
;"       Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"5.412";"5.651";"5.940";"6.113";"5.969";"6.615";"6.850";"7.109";"7.326";"7.356";"7.729";"7.918";"8.126";"8.287";"8.483";"8.634";"8.890";"9.085";"9.271";"9.487";"9.735";"10.005";"10.256";"10.525";"10.747";"11.101";"11.465";
;"    Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"244";"261";"268";"277";"276";"281";"290";"288";"286";"286";"282";"298";"299";"300";"311";"310";"315";"316";"319";"321";"326";"336";"338";"338";"343";"346";"358";
;"       Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"244";"261";"268";"277";"276";"281";"290";"288";"286";"286";"282";"298";"299";"300";"311";"310";"315";"316";"319";"321";"326";"336";"338";"338";"343";"346";"358";
;"    Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"116";"149";"188";"236";"292";"367";"417";"503";"574";"646";"688";"758";"830";"888";"915";"963";"1.013";"1.054";"1.112";"1.185";"1.224";"1.290";"1.358";"1.406";"1.442";"1.505";"1.580";
;"       Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"116";"149";"188";"236";"292";"367";"417";"503";"574";"646";"688";"758";"830";"888";"915";"963";"1.013";"1.054";"1.112";"1.185";"1.224";"1.290";"1.358";"1.406";"1.442";"1.505";"1.580";
;"    Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"114";"134";"130";"147";"216";"314";"382";"436";"460";"506";"524";"573";"593";"619";"629";"655";"671";"677";"685";"708";"729";"745";"770";"783";"795";"808";"806";
