"    Innere Medizin";"34.653";"35.431";"35.955";"36.817";"37.584";"38.395";"39.125";"39.630";"40.337";"40.980";"41.722";"42.703";"43.955";"45.559";"46.995";"48.090";"49.093";"50.834";"52.158";"53.362";"54.982";
"    Kinder- und Jugendmedizin";"11.044";"11.178";"11.196";"11.227";"11.302";"11.354";"11.419";"11.489";"11.640";"11.788";"11.973";"12.216";"12.503";"12.841";"13.179";"13.464";"13.718";"14.162";"14.466";"14.703";"14.999";
"    Kinder- und Jugendpsychiatrie und -psychotherapie";"910";"967";"1.026";"1.073";"1.131";"1.166";"1.236";"1.299";"1.354";"1.414";"1.503";"1.587";"1.682";"1.806";"1.885";"1.965";"2.039";"2.168";"2.259";"2.346";"2.449";
"    Laboratoriumsmedizin";"924";"906";"899";"927";"939";"953";"949";"951";"942";"945";"977";"1.000";"995";"1.019";"1.038";"1.052";"1.064";"1.090";"1.112";"1.125";"1.146";
"    Mikrobiologie, Virologie, Infektionsepidemiologie";"587";"586";"600";"610";"610";"629";"636";"646";"645";"652";"666";"664";"671";"696";"697";"713";"731";"768";"776";"797";"817";
"    Mund-Kiefer-Gesichtschirurgie";"1.048";"1.078";"1.124";"1.169";"1.234";"1.268";"1.308";"1.324";"1.357";"1.411";"1.445";"1.474";"1.491";"1.519";"1.544";"1.582";"1.633";"1.654";"1.694";"1.733";"1.766";
"    Neurochirurgie";"867";"930";"973";"1.063";"1.125";"1.213";"1.257";"1.309";"1.379";"1.436";"1.464";"1.533";"1.594";"1.681";"1.784";"1.860";"1.952";"2.071";"2.170";"2.260";"2.363";
"    Neurologie";"1.961";"2.276";"2.226";"2.423";"2.641";"2.847";"3.260";"3.548";"3.708";"3.999";"4.238";"4.540";"4.804";"5.074";"5.370";"5.727";"6.095";"6.451";"6.810";"7.188";"7.537";
"    Nuklearmedizin";"724";"753";"810";"828";"857";"894";"904";"929";"955";"955";"984";"1.017";"1.046";"1.054";"1.074";"1.108";"1.126";"1.144";"1.160";"1.177";"1.190";
"    Öffentliches Gesundheitswesen";"1.072";"1.063";"1.079";"1.047";"1.053";"1.034";"1.015";"969";"961";"958";"919";"892";"882";"866";"857";"840";"844";"811";"800";"785";"784";
"    Pathologie";"1.314";"1.330";"1.357";"1.377";"1.389";"1.396";"1.408";"1.372";"1.400";"1.384";"1.405";"1.441";"1.465";"1.501";"1.535";"1.582";"1.605";"1.652";"1.676";"1.708";"1.735";
"    Pharmakologie";"492";"497";"506";"506";"497";"495";"490";"473";"481";"459";"452";"444";"449";"444";"443";"451";"466";"453";"436";"421";"408";
"    Physikalische und Rehabilitative Medizin";"1.303";"1.405";"1.612";"1.609";"1.656";"1.677";"1.683";"1.680";"1.680";"1.660";"1.684";"1.705";"1.725";"1.753";"1.793";"1.815";"1.829";"1.872";"1.865";"1.862";"1.882";
"    Physiologie";"119";"122";"115";"116";"114";"112";"109";"112";"108";"100";"95";"96";"92";"97";"105";"107";"105";"102";"99";"100";"101";
"    Psychiatrie und Psychotherapie";"3.760";"4.190";"4.736";"5.183";"5.597";"5.992";"6.378";"6.802";"7.148";"7.499";"7.856";"8.297";"8.663";"9.105";"9.485";"9.770";"10.088";"10.450";"10.787";"11.037";"11.346";
"    Psychosomatische Medizin und Psychotherapie";"2.872";"3.144";"3.543";"3.541";"3.655";"3.757";"3.816";"3.840";"3.861";"3.874";"3.890";"3.945";"3.981";"4.024";"4.066";"4.080";"4.123";"4.179";"4.181";"4.142";"4.155";
"    Radiologie";"5.725";"5.897";"5.914";"6.097";"6.160";"6.252";"6.314";"6.405";"6.456";"6.631";"6.690";"6.806";"6.989";"7.193";"7.379";"7.546";"7.745";"7.969";"8.246";"8.533";"8.792";
"    Rechtsmedizin";"220";"214";"210";"204";"218";"216";"213";"219";"211";"207";"210";"214";"213";"219";"229";"235";"239";"245";"248";"253";"263";
"    Strahlentherapie";"457";"526";"591";"630";"680";"734";"777";"805";"844";"894";"933";"989";"1.059";"1.084";"1.142";"1.192";"1.228";"1.257";"1.302";"1.368";"1.420";
"    Transfusionsmedizin";"381";"395";"426";"434";"477";"493";"508";"499";"512";"521";"520";"524";"537";"551";"562";"577";"588";"594";"603";"594";"584";
"    Urologie";"4.186";"4.282";"4.384";"4.491";"4.568";"4.651";"4.762";"4.804";"4.883";"4.950";"5.040";"5.117";"5.204";"5.311";"5.388";"5.521";"5.635";"5.771";"5.883";"5.936";"6.075";
"       Sozialhygiene";"122";"123";"111";"103";"84";"83";"76";"61";"52";"45";"38";"33";"32";"30";"27";"25";"21";"23";"23";"18";"16";
"       Sportmedizin";"122";"121";"120";"117";"105";"100";"96";"87";"90";"88";"86";"77";"74";"68";"70";"68";"60";"61";"50";"46";"41";
"       Sonstige Facharztbezeichnungen";"59";"59";"51";"56";"49";"52";"54";"54";"55";"49";"43";"44";"42";"42";"41";"40";"39";"39";"37";"38";"36";
"    Ohne Gebiet";"100.352";"99.756";"99.372";"98.220";"97.250";"96.384";"94.913";"90.177";"91.724";"91.861";"93.593";"95.417";"98.346";"101.227";"102.468";"106.660";"110.227";"109.543";"111.850";"113.816";"115.465";

****************************************************************************************************
Fußnoten
****************************************************************************************************

"1.";"Angaben zum Stichtag 31.12. des jeweiligen Jahres."
"2.";"Die Gebiets- und Facharztbezeichnungen entsprechen der (Muster-)Weiterbildungsordnung der Bundesärztekammer von 2003, soweit sie in dieser enthalten sind. Alte Bezeichnungen, die in dieser Fassung nicht mehr enthalten sind, wurden, wenn möglich, in dieser Fassung enthaltenen Bezeichnungen zugeordnet."

****************************************************************************************************
Die Tabelle wurde am 21.07.2019 20:04 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
"Ärztestatistik, Bundesärztekammer (Arbeitsgemeinschaft der deutschen Ärztekammern)"
"Fortschreibung des Bevölkerungsstandes, Statistisches Bundesamt"

****************************************************************************************************
Positionen mit Erläuterungen und Abkürzungen
****************************************************************************************************

Gebiets-/Facharztbezeichnung:
  Sozialhygiene:;Nicht in (Muster-)Weiterbildungsordnung von 2003.
  Sportmedizin:;Nicht in (Muster-)Weiterbildungsordnung von 2003.
  Sonstige Facharztbezeichnungen:;Nicht in (Muster-)Weiterbildungsordnung von 2003.einschließlich:- Biomathematik- Biophysik- Geschichte der Medizin- Immunologie- Industrietoxikologie- Kieferchirurgie- Klinische Strahlenphysik- Medizinische Genetik- Medizinische Informatik- Medizinische Physik und Biophysik- Medizinische Wissenschaftsinformation- Pathologische Biochemie- nichtzuordenbare Facharztbezeichnungen
