"    Öffentliches Gesundheitswesen";"1,09";"1,31";"1,29";"1,31";"1,27";"1,28";"1,25";"1,23";"1,18";"1,17";"1,17";"1,12";"1,09";"1,08";"1,08";"1,06";"1,04";"1,04";"0,99";"0,97";"0,95";
"    Pathologie";"1,52";"1,60";"1,62";"1,65";"1,67";"1,68";"1,69";"1,71";"1,66";"1,70";"1,68";"1,71";"1,76";"1,79";"1,87";"1,91";"1,96";"1,98";"2,01";"2,03";"2,06";
"    Pharmakologie";"0,61";"0,60";"0,60";"0,62";"0,61";"0,60";"0,60";"0,59";"0,57";"0,58";"0,56";"0,55";"0,54";"0,55";"0,55";"0,55";"0,56";"0,57";"0,55";"0,53";"0,51";
"    Physikalische und Rehabilitative Medizin";"0,60";"1,59";"1,71";"1,96";"1,95";"2,01";"2,03";"2,04";"2,04";"2,04";"2,02";"2,05";"2,08";"2,11";"2,18";"2,23";"2,25";"2,25";"2,28";"2,26";"2,25";
"    Physiologie";"0,12";"0,15";"0,15";"0,14";"0,14";"0,14";"0,14";"0,13";"0,14";"0,13";"0,12";"0,12";"0,12";"0,11";"0,12";"0,13";"0,13";"0,13";"0,12";"0,12";"0,12";
"    Psychiatrie und Psychotherapie";"3,24";"4,58";"5,10";"5,76";"6,29";"6,78";"7,26";"7,73";"8,25";"8,68";"9,12";"9,58";"10,14";"10,60";"11,33";"11,78";"12,10";"12,42";"12,72";"13,07";"13,33";
"    Psychosomatische Medizin und Psychotherapie";"0,63";"3,50";"3,83";"4,31";"4,30";"4,43";"4,55";"4,63";"4,66";"4,69";"4,71";"4,74";"4,82";"4,87";"5,01";"5,05";"5,05";"5,08";"5,09";"5,07";"5,00";
"    Radiologie";"6,00";"6,98";"7,18";"7,19";"7,40";"7,46";"7,58";"7,65";"7,77";"7,84";"8,07";"8,16";"8,32";"8,55";"8,95";"9,16";"9,34";"9,54";"9,70";"9,99";"10,31";
"    Rechtsmedizin";"0,27";"0,27";"0,26";"0,26";"0,25";"0,26";"0,26";"0,26";"0,27";"0,26";"0,25";"0,26";"0,26";"0,26";"0,27";"0,28";"0,29";"0,29";"0,30";"0,30";"0,31";
"    Strahlentherapie";"0,34";"0,56";"0,64";"0,72";"0,76";"0,82";"0,89";"0,94";"0,98";"1,03";"1,09";"1,14";"1,21";"1,30";"1,35";"1,42";"1,48";"1,51";"1,53";"1,58";"1,65";
"    Transfusionsmedizin";"0,22";"0,46";"0,48";"0,52";"0,53";"0,58";"0,60";"0,62";"0,61";"0,62";"0,63";"0,63";"0,64";"0,66";"0,69";"0,70";"0,71";"0,72";"0,72";"0,73";"0,72";
"    Urologie";"4,61";"5,10";"5,21";"5,33";"5,45";"5,53";"5,64";"5,77";"5,83";"5,93";"6,02";"6,15";"6,26";"6,37";"6,61";"6,69";"6,84";"6,94";"7,02";"7,13";"7,17";
"    Sonstige Gebiete";"0,59";"0,37";"0,37";"0,34";"0,33";"0,29";"0,28";"0,27";"0,25";"0,24";"0,22";"0,20";"0,19";"0,18";"0,17";"0,17";"0,16";"0,15";"0,15";"0,13";"0,12";
"    Ohne Gebiet";"134,60";"122,33";"121,41";"120,80";"119,14";"117,83";"116,78";"115,04";"109,39";"111,43";"111,73";"114,13";"116,64";"120,30";"126,02";"127,25";"132,06";"135,75";"133,30";"135,54";"137,47";

****************************************************************************************************
Fußnoten
****************************************************************************************************

"1.";"Angaben zum Stichtag 31.12. des jeweiligen Jahres."
"2.";"Die Gebiets- und Facharztbezeichnungen entsprechen der (Muster-)Weiterbildungsordnung der Bundesärztekammer von 2003, soweit sie in dieser enthalten sind. Alte Bezeichnungen, die in dieser Fassung nicht mehr enthalten sind, wurden, wenn möglich, in dieser Fassung enthaltenen Bezeichnungen zugeordnet."

****************************************************************************************************
Die Tabelle wurde am 03.07.2019 16:32 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
"Ärztestatistik, Bundesärztekammer (Arbeitsgemeinschaft der deutschen Ärztekammern)"
"Fortschreibung des Bevölkerungsstandes, Statistisches Bundesamt"

****************************************************************************************************
Positionen mit Erläuterungen und Abkürzungen
****************************************************************************************************

Gebiets-/Facharztbezeichnung:
  Nervenheilkunde:;Nicht in (Muster-)Weiterbildungsordnung von 2003.
  Sonstige Gebiete:;Nicht in (Muster-)Weiterbildungsordnung von 2003.
