;"    Hygiene und Umweltmedizin";"0,51";"0,52";"0,52";"0,52";"0,53";"0,51";"0,51";"0,51";"0,51";"0,53";"0,54";"0,54";"0,54";"0,54";"0,55";"0,56";"0,54";"0,54";"0,53";"0,53";"0,54";"0,54";
;"    Innere Medizin";"47,81";"52,71";"53,98";"55,13";"56,61";"57,98";"59,69";"61,32";"62,78";"64,36";"65,95";"67,60";"69,39";"71,30";"74,88";"76,99";"78,50";"79,73";"80,81";"82,57";"84,36";"86,37";
;"    Kinder- und Jugendmedizin";"16,36";"17,50";"17,81";"18,05";"18,37";"18,68";"19,15";"19,57";"19,98";"20,50";"21,04";"21,57";"22,14";"22,65";"23,58";"24,09";"24,50";"24,88";"25,08";"25,52";"25,91";"26,33";
;"    Kinder- und Jugendpsychiatrie und -psychotherapie";"0,95";"1,28";"1,35";"1,45";"1,55";"1,62";"1,70";"1,81";"1,91";"2,02";"2,11";"2,25";"2,38";"2,53";"2,74";"2,84";"2,97";"3,08";"3,20";"3,33";"3,49";"3,61";
;"    Laboratoriumsmedizin";"1,40";"1,48";"1,49";"1,49";"1,54";"1,57";"1,61";"1,62";"1,64";"1,64";"1,68";"1,73";"1,77";"1,77";"1,84";"1,86";"1,88";"1,88";"1,88";"1,90";"1,91";"1,94";
;"    Mikrobiologie, Virologie, Infektionsepidemiologie";"0,79";"0,92";"0,94";"0,99";"1,02";"1,04";"1,07";"1,09";"1,12";"1,14";"1,17";"1,20";"1,21";"1,23";"1,28";"1,30";"1,32";"1,33";"1,33";"1,34";"1,38";"1,38";
;"    Mund-Kiefer-Gesichtschirurgie";"1,26";"1,48";"1,53";"1,59";"1,65";"1,72";"1,78";"1,87";"1,94";"2,01";"2,09";"2,17";"2,22";"2,26";"2,35";"2,40";"2,46";"2,49";"2,50";"2,55";"2,60";"2,64";
;"    Nervenheilkunde";"9,52";"8,76";"8,36";"8,21";"8,11";"7,92";"7,83";"7,72";"7,62";"7,55";"7,45";"7,40";"7,34";"7,27";"7,32";"7,24";"7,09";"6,91";"6,70";"6,56";"6,41";"6,25";
;"    Neurochirurgie";"0,97";"1,17";"1,25";"1,30";"1,41";"1,50";"1,62";"1,69";"1,79";"1,90";"1,98";"2,06";"2,17";"2,26";"2,43";"2,56";"2,66";"2,77";"2,88";"3,01";"3,13";"3,27";
;"    Neurologie";"2,05";"2,67";"3,09";"3,03";"3,32";"3,61";"3,94";"4,48";"4,85";"5,08";"5,49";"5,82";"6,21";"6,56";"7,03";"7,43";"7,88";"8,30";"8,65";"9,11";"9,56";"10,05";
;"    Nuklearmedizin";"0,82";"1,04";"1,09";"1,19";"1,23";"1,29";"1,36";"1,39";"1,45";"1,49";"1,53";"1,58";"1,63";"1,67";"1,73";"1,76";"1,81";"1,83";"1,84";"1,88";"1,90";"1,92";
;"    Öffentliches Gesundheitswesen";"1,44";"1,72";"1,73";"1,79";"1,78";"1,83";"1,86";"1,88";"1,88";"1,90";"1,91";"1,92";"1,92";"1,94";"1,97";"1,98";"1,99";"1,98";"1,95";"1,94";"1,93";"1,95";
;"    Pathologie";"1,80";"1,94";"1,99";"2,05";"2,11";"2,17";"2,20";"2,28";"2,30";"2,39";"2,41";"2,48";"2,55";"2,59";"2,70";"2,73";"2,78";"2,81";"2,81";"2,85";"2,91";"2,94";
;"    Pharmakologie";"0,75";"0,79";"0,81";"0,83";"0,84";"0,85";"0,85";"0,88";"0,89";"0,91";"0,91";"0,91";"0,92";"0,93";"0,96";"0,96";"0,97";"0,98";"0,95";"0,93";"0,91";"0,89";
;"    Physikalische und Rehabilitative Medizin";"0,69";"1,77";"1,91";"2,19";"2,22";"2,32";"2,39";"2,45";"2,49";"2,53";"2,55";"2,63";"2,68";"2,76";"2,89";"2,95";"3,01";"3,06";"3,09";"3,13";"3,16";"3,20";
;"    Physiologie";"0,17";"0,20";"0,21";"0,20";"0,20";"0,20";"0,20";"0,20";"0,21";"0,21";"0,21";"0,21";"0,22";"0,21";"0,23";"0,23";"0,24";"0,23";"0,23";"0,23";"0,23";"0,22";
;"    Psychiatrie und Psychotherapie";"3,47";"4,97";"5,53";"6,25";"6,85";"7,41";"7,97";"8,50";"9,10";"9,61";"10,11";"10,64";"11,26";"11,78";"12,58";"13,13";"13,52";"13,93";"14,14";"14,60";"15,03";"15,48";
;"    Psychosomatische Medizin und Psychotherapie";"0,65";"3,61";"3,96";"4,47";"4,50";"4,69";"4,86";"4,98";"5,09";"5,18";"5,30";"5,43";"5,55";"5,67";"5,91";"6,02";"6,12";"6,21";"6,22";"6,28";"6,34";"6,40";
;"    Radiologie";"7,30";"8,67";"8,92";"8,94";"9,38";"9,59";"9,85";"10,04";"10,29";"10,49";"10,81";"11,08";"11,33";"11,60";"12,12";"12,42";"12,70";"12,96";"13,08";"13,45";"13,85";"14,17";
;"    Rechtsmedizin";"0,34";"0,35";"0,35";"0,35";"0,34";"0,36";"0,36";"0,36";"0,38";"0,38";"0,38";"0,39";"0,39";"0,39";"0,41";"0,42";"0,42";"0,42";"0,42";"0,42";"0,43";"0,43";
;"    Strahlentherapie";"0,36";"0,61";"0,70";"0,79";"0,83";"0,92";"1,01";"1,08";"1,11";"1,17";"1,23";"1,29";"1,36";"1,45";"1,52";"1,60";"1,68";"1,73";"1,75";"1,82";"1,91";"1,98";
;"    Transfusionsmedizin";"0,26";"0,53";"0,56";"0,62";"0,64";"0,69";"0,72";"0,75";"0,76";"0,80";"0,82";"0,83";"0,84";"0,87";"0,91";"0,93";"0,95";"0,96";"0,97";"0,98";"0,97";"0,98";
;"    Urologie";"5,21";"5,87";"6,06";"6,27";"6,43";"6,64";"6,83";"7,08";"7,24";"7,48";"7,66";"7,89";"8,07";"8,26";"8,59";"8,73";"8,91";"9,04";"9,12";"9,28";"9,43";"9,61";
;"    Sonstige Gebiete";"0,93";"0,74";"0,75";"0,74";"0,75";"0,70";"0,69";"0,70";"0,70";"0,71";"0,71";"0,70";"0,68";"0,67";"0,67";"0,68";"0,68";"0,67";"0,66";"0,63";"0,62";"0,60";
;"    Ohne Gebiet";"167,88";"158,95";"157,06";"156,55";"154,55";"153,22";"152,89";"151,78";"147,20";"149,18";"149,27";"152,04";"154,50";"157,80";"164,39";"166,54";"171,95";"176,26";"171,53";"174,12";"176,17";"178,12";
"    Mit ärztlicher Tätigkeit";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"334,75";"349,88";"354,38";"358,23";"361,34";"364,76";"368,49";"371,43";"373,10";"378,10";"383,02";"389,86";"398,45";"408,06";"425,83";"433,03";"442,32";"449,83";"451,84";"458,80";"465,20";"472,66";
;"    Allgemeinmedizin";"36,31";"43,39";"44,33";"44,93";"45,90";"46,90";"47,54";"48,46";"52,36";"51,33";"51,99";"52,11";"52,44";"52,72";"53,77";"53,78";"53,55";"53,21";"53,02";"52,86";"52,57";"52,63";
;"    Anästhesiologie";"13,79";"16,80";"17,47";"18,02";"18,49";"18,94";"19,52";"19,97";"20,56";"21,16";"21,76";"22,35";"23,07";"23,75";"25,08";"25,88";"26,59";"27,18";"27,84";"28,51";"29,35";"30,08";
;"    Anatomie";"0,08";"0,16";"0,17";"0,17";"0,16";"0,16";"0,16";"0,16";"0,15";"0,14";"0,13";"0,13";"0,12";"0,12";"0,13";"0,13";"0,13";"0,13";"0,14";"0,14";"0,14";"0,13";
;"    Arbeitsmedizin";"2,73";"3,19";"3,22";"3,19";"3,23";"3,25";"3,22";"3,23";"3,27";"3,28";"3,31";"3,33";"3,38";"3,45";"3,56";"3,63";"3,72";"3,83";"3,89";"3,98";"4,07";"4,24";
;"    Augenheilkunde";"7,28";"7,69";"7,66";"7,70";"7,74";"7,77";"7,83";"7,84";"7,92";"7,95";"8,04";"8,09";"8,26";"8,32";"8,60";"8,67";"8,76";"8,81";"8,88";"8,95";"9,06";"9,20";
;"    Biochemie";"0,08";"0,11";"0,11";"0,11";"0,10";"0,10";"0,09";"0,08";"0,07";"0,07";"0,07";"0,07";"0,06";"0,06";"0,07";"0,06";"0,06";"0,06";"0,06";"0,05";"0,05";"0,04";
;"    Chirurgie";"25,44";"28,17";"29,00";"29,69";"30,49";"31,27";"32,19";"32,95";"33,70";"34,52";"35,33";"36,10";"37,15";"38,12";"39,87";"40,86";"41,63";"42,21";"42,99";"43,80";"44,68";"45,60";
;"    Frauenheilkunde und Geburtshilfe";"16,42";"17,46";"17,79";"18,01";"18,24";"18,45";"18,64";"18,78";"18,93";"19,21";"19,40";"19,68";"20,01";"20,30";"20,99";"21,29";"21,47";"21,74";"21,90";"22,12";"22,26";"22,43";
;"    Hals-Nasen-Ohrenheilkunde";"5,91";"6,30";"6,33";"6,40";"6,45";"6,49";"6,57";"6,63";"6,64";"6,71";"6,77";"6,79";"6,88";"6,97";"7,23";"7,35";"7,37";"7,49";"7,55";"7,60";"7,60";"7,69";
;"    Haut- und Geschlechtskrankheiten";"4,96";"5,40";"5,50";"5,62";"5,71";"5,79";"5,90";"5,96";"6,08";"6,16";"6,22";"6,32";"6,42";"6,50";"6,74";"6,85";"6,91";"6,96";"7,02";"7,10";"7,18";"7,30";
;"    Humangenetik";"0,09";"0,18";"0,19";"0,22";"0,22";"0,24";"0,23";"0,25";"0,27";"0,28";"0,29";"0,31";"0,32";"0,34";"0,37";"0,38";"0,40";"0,40";"0,41";"0,41";"0,44";"0,43";
;"    Hygiene und Umweltmedizin";"0,38";"0,35";"0,34";"0,33";"0,32";"0,31";"0,30";"0,28";"0,26";"0,26";"0,26";"0,25";"0,25";"0,25";"0,25";"0,25";"0,24";"0,24";"0,24";"0,25";"0,25";"0,26";
;"    Innere Medizin";"38,91";"42,24";"43,12";"43,71";"44,66";"45,54";"46,52";"47,42";"48,07";"49,00";"49,84";"50,88";"52,20";"53,77";"56,72";"58,36";"59,54";"60,46";"61,86";"63,21";"64,45";"66,23";
;"    Kinder- und Jugendmedizin";"12,86";"13,46";"13,60";"13,61";"13,62";"13,69";"13,76";"13,84";"13,94";"14,14";"14,34";"14,60";"14,93";"15,29";"15,99";"16,37";"16,67";"16,89";"17,23";"17,53";"17,76";"18,07";
;"    Kinder- und Jugendpsychiatrie und -psychotherapie";"0,84";"1,11";"1,18";"1,25";"1,30";"1,37";"1,41";"1,50";"1,58";"1,64";"1,72";"1,83";"1,94";"2,06";"2,25";"2,34";"2,43";"2,51";"2,64";"2,74";"2,83";"2,95";
;"    Laboratoriumsmedizin";"1,10";"1,13";"1,10";"1,09";"1,12";"1,14";"1,15";"1,15";"1,15";"1,14";"1,15";"1,19";"1,22";"1,22";"1,27";"1,29";"1,30";"1,31";"1,33";"1,35";"1,36";"1,38";
;"    Mikrobiologie, Virologie, Infektionsepidemiologie";"0,62";"0,72";"0,71";"0,73";"0,74";"0,74";"0,76";"0,77";"0,78";"0,78";"0,79";"0,81";"0,81";"0,82";"0,87";"0,87";"0,88";"0,90";"0,93";"0,94";"0,96";"0,98";
;"    Mund-Kiefer-Gesichtschirurgie";"1,08";"1,28";"1,31";"1,37";"1,42";"1,50";"1,54";"1,59";"1,61";"1,65";"1,72";"1,76";"1,80";"1,82";"1,89";"1,92";"1,96";"2,01";"2,01";"2,05";"2,09";"2,13";
;"    Nervenheilkunde";"7,99";"7,01";"6,54";"6,30";"6,12";"5,83";"5,61";"5,39";"5,16";"4,96";"4,73";"4,57";"4,44";"4,35";"4,28";"4,14";"3,98";"3,78";"3,67";"3,47";"3,30";"3,12";
;"    Neurochirurgie";"0,89";"1,06";"1,13";"1,18";"1,29";"1,36";"1,47";"1,52";"1,59";"1,68";"1,75";"1,79";"1,87";"1,95";"2,09";"2,22";"2,30";"2,40";"2,52";"2,63";"2,73";"2,85";
;"    Neurologie";"1,84";"2,39";"2,77";"2,71";"2,94";"3,20";"3,45";"3,95";"4,30";"4,50";"4,86";"5,17";"5,55";"5,88";"6,32";"6,67";"7,09";"7,51";"7,85";"8,25";"8,68";"9,08";
;"    Nuklearmedizin";"0,70";"0,88";"0,92";"0,98";"1,00";"1,04";"1,08";"1,10";"1,13";"1,16";"1,16";"1,20";"1,24";"1,28";"1,31";"1,33";"1,37";"1,39";"1,39";"1,41";"1,42";"1,43";
;"    Öffentliches Gesundheitswesen";"1,09";"1,31";"1,29";"1,31";"1,27";"1,28";"1,25";"1,23";"1,18";"1,17";"1,17";"1,12";"1,09";"1,08";"1,08";"1,06";"1,04";"1,04";"0,99";"0,97";"0,95";"0,94";
;"    Pathologie";"1,52";"1,60";"1,62";"1,65";"1,67";"1,68";"1,69";"1,71";"1,66";"1,70";"1,68";"1,71";"1,76";"1,79";"1,87";"1,91";"1,96";"1,98";"2,01";"2,03";"2,06";"2,09";
;"    Pharmakologie";"0,61";"0,60";"0,60";"0,62";"0,61";"0,60";"0,60";"0,59";"0,57";"0,58";"0,56";"0,55";"0,54";"0,55";"0,55";"0,55";"0,56";"0,57";"0,55";"0,53";"0,51";"0,49";
;"    Physikalische und Rehabilitative Medizin";"0,60";"1,59";"1,71";"1,96";"1,95";"2,01";"2,03";"2,04";"2,04";"2,04";"2,02";"2,05";"2,08";"2,11";"2,18";"2,23";"2,25";"2,25";"2,28";"2,26";"2,25";"2,27";
;"    Physiologie";"0,12";"0,15";"0,15";"0,14";"0,14";"0,14";"0,14";"0,13";"0,14";"0,13";"0,12";"0,12";"0,12";"0,11";"0,12";"0,13";"0,13";"0,13";"0,12";"0,12";"0,12";"0,12";
;"    Psychiatrie und Psychotherapie";"3,24";"4,58";"5,10";"5,76";"6,29";"6,78";"7,26";"7,73";"8,25";"8,68";"9,12";"9,58";"10,14";"10,60";"11,33";"11,78";"12,10";"12,42";"12,72";"13,07";"13,33";"13,67";
;"    Psychosomatische Medizin und Psychotherapie";"0,63";"3,50";"3,83";"4,31";"4,30";"4,43";"4,55";"4,63";"4,66";"4,69";"4,71";"4,74";"4,82";"4,87";"5,01";"5,05";"5,05";"5,08";"5,09";"5,07";"5,00";"5,00";
;"    Radiologie";"6,00";"6,98";"7,18";"7,19";"7,40";"7,46";"7,58";"7,65";"7,77";"7,84";"8,07";"8,16";"8,32";"8,55";"8,95";"9,16";"9,34";"9,54";"9,70";"9,99";"10,31";"10,59";
;"    Rechtsmedizin";"0,27";"0,27";"0,26";"0,26";"0,25";"0,26";"0,26";"0,26";"0,27";"0,26";"0,25";"0,26";"0,26";"0,26";"0,27";"0,28";"0,29";"0,29";"0,30";"0,30";"0,31";"0,32";
;"    Strahlentherapie";"0,34";"0,56";"0,64";"0,72";"0,76";"0,82";"0,89";"0,94";"0,98";"1,03";"1,09";"1,14";"1,21";"1,30";"1,35";"1,42";"1,48";"1,51";"1,53";"1,58";"1,65";"1,71";
;"    Transfusionsmedizin";"0,22";"0,46";"0,48";"0,52";"0,53";"0,58";"0,60";"0,62";"0,61";"0,62";"0,63";"0,63";"0,64";"0,66";"0,69";"0,70";"0,71";"0,72";"0,72";"0,73";"0,72";"0,70";
;"    Urologie";"4,61";"5,10";"5,21";"5,33";"5,45";"5,53";"5,64";"5,77";"5,83";"5,93";"6,02";"6,15";"6,26";"6,37";"6,61";"6,69";"6,84";"6,94";"7,02";"7,13";"7,17";"7,32";
;"    Sonstige Gebiete";"0,59";"0,37";"0,37";"0,34";"0,33";"0,29";"0,28";"0,27";"0,25";"0,24";"0,22";"0,20";"0,19";"0,18";"0,17";"0,17";"0,16";"0,15";"0,15";"0,13";"0,12";"0,11";
;"    Ohne Gebiet";"134,60";"122,33";"121,41";"120,80";"119,14";"117,83";"116,78";"115,04";"109,39";"111,43";"111,73";"114,13";"116,64";"120,30";"126,02";"127,25";"132,06";"135,75";"133,30";"135,54";"137,47";"139,08";
"       Ambulant";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"143,71";"151,91";"153,33";"156,20";"157,67";"159,12";"160,36";"161,65";"163,51";"165,35";"167,28";"168,69";"170,67";"173,04";"177,84";"178,90";"180,68";"182,21";"182,66";"184,18";"186,45";"189,46";
;"    Allgemeinmedizin";"32,51";"39,12";"39,86";"40,43";"41,07";"41,66";"41,91";"42,45";"45,53";"44,74";"45,57";"45,63";"45,77";"45,95";"46,64";"46,47";"46,25";"45,89";"45,62";"45,47";"45,28";"45,29";
;"    Anästhesiologie";"1,93";"2,60";"2,90";"3,16";"3,28";"3,42";"3,60";"3,72";"3,79";"3,86";"3,94";"4,01";"4,12";"4,23";"4,36";"4,45";"4,54";"4,62";"4,70";"4,76";"4,94";"5,12";
;"    Anatomie";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";
;"    Arbeitsmedizin";"0,24";"0,27";"0,29";"0,29";"0,29";"0,29";"0,30";"0,30";"0,32";"0,32";"0,36";"0,37";"0,41";"0,43";"0,47";"0,49";"0,51";"0,53";"0,56";"0,57";"0,60";"0,65";
;"    Augenheilkunde";"6,18";"6,47";"6,48";"6,53";"6,56";"6,58";"6,62";"6,64";"6,69";"6,71";"6,78";"6,81";"6,88";"6,95";"7,16";"7,18";"7,25";"7,32";"7,33";"7,39";"7,47";"7,58";
;"    Biochemie";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";
;"    Chirurgie";"9,98";"10,78";"10,96";"11,18";"11,38";"11,53";"11,76";"12,01";"12,21";"12,37";"12,64";"12,86";"13,07";"13,27";"13,68";"13,83";"14,06";"14,20";"14,31";"14,39";"14,61";"14,86";
;"    Frauenheilkunde und Geburtshilfe";"11,51";"11,94";"12,06";"12,25";"12,37";"12,49";"12,59";"12,63";"12,71";"12,86";"12,95";"13,07";"13,21";"13,34";"13,66";"13,68";"13,74";"13,85";"13,84";"13,94";"14,00";"14,16";
;"    Hals-Nasen-Ohrenheilkunde";"4,63";"4,88";"4,92";"4,94";"4,94";"4,98";"5,00";"5,03";"5,04";"5,06";"5,08";"5,07";"5,13";"5,13";"5,27";"5,28";"5,28";"5,30";"5,30";"5,35";"5,35";"5,40";
;"    Haut- und Geschlechtskrankheiten";"3,98";"4,29";"4,30";"4,37";"4,39";"4,46";"4,50";"4,57";"4,65";"4,67";"4,76";"4,82";"4,91";"4,94";"5,12";"5,18";"5,25";"5,30";"5,34";"5,38";"5,46";"5,58";
;"    Humangenetik";"0,01";"0,04";"0,05";"0,06";"0,07";"0,07";"0,07";"0,08";"0,09";"0,10";"0,12";"0,14";"0,15";"0,16";"0,18";"0,20";"0,22";"0,23";"0,25";"0,25";"0,26";"0,26";
;"    Hygiene und Umweltmedizin";"0,03";"0,04";"0,03";"0,03";"0,03";"0,01";"0,01";"0,02";"0,01";"0,01";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,03";"0,03";"0,03";
;"    Innere Medizin";"19,95";"21,02";"21,37";"21,60";"22,21";"22,70";"23,17";"23,55";"23,96";"24,60";"25,20";"25,82";"26,32";"26,83";"27,89";"28,37";"28,97";"29,49";"30,00";"30,65";"31,38";"32,28";
;"    Kinder- und Jugendmedizin";"7,27";"7,55";"7,60";"7,62";"7,63";"7,63";"7,65";"7,69";"7,73";"7,81";"7,90";"7,94";"8,00";"8,09";"8,27";"8,39";"8,48";"8,53";"8,64";"8,78";"8,89";"9,07";
;"    Kinder- und Jugendpsychiatrie und -psychotherapie";"0,34";"0,48";"0,52";"0,55";"0,57";"0,62";"0,64";"0,68";"0,73";"0,79";"0,84";"0,91";"0,98";"1,04";"1,13";"1,19";"1,26";"1,30";"1,32";"1,37";"1,39";"1,45";
;"    Laboratoriumsmedizin";"0,55";"0,58";"0,56";"0,57";"0,60";"0,61";"0,61";"0,61";"0,62";"0,63";"0,66";"0,69";"0,72";"0,72";"0,76";"0,78";"0,82";"0,84";"0,85";"0,88";"0,90";"0,92";
;"    Mikrobiologie, Virologie, Infektionsepidemiologie";"0,13";"0,17";"0,18";"0,18";"0,19";"0,19";"0,20";"0,20";"0,20";"0,21";"0,24";"0,25";"0,25";"0,27";"0,29";"0,30";"0,31";"0,32";"0,33";"0,34";"0,36";"0,38";
;"    Mund-Kiefer-Gesichtschirurgie";"0,70";"0,85";"0,90";"0,95";"0,98";"1,03";"1,08";"1,11";"1,13";"1,17";"1,22";"1,25";"1,29";"1,33";"1,37";"1,38";"1,40";"1,46";"1,46";"1,47";"1,49";"1,51";
;"    Nervenheilkunde";"4,34";"3,98";"3,76";"3,67";"3,63";"3,48";"3,40";"3,31";"3,20";"3,13";"3,01";"2,92";"2,85";"2,80";"2,76";"2,67";"2,55";"2,43";"2,35";"2,23";"2,11";"1,99";
;"    Neurochirurgie";"0,12";"0,17";"0,20";"0,21";"0,24";"0,28";"0,30";"0,33";"0,37";"0,44";"0,50";"0,53";"0,59";"0,62";"0,67";"0,73";"0,74";"0,77";"0,78";"0,79";"0,79";"0,81";
;"    Neurologie";"0,58";"0,65";"0,79";"0,71";"0,75";"0,81";"0,86";"1,08";"1,18";"1,17";"1,26";"1,38";"1,46";"1,56";"1,70";"1,81";"1,89";"2,01";"2,09";"2,22";"2,38";"2,52";
;"    Nuklearmedizin";"0,29";"0,42";"0,45";"0,50";"0,51";"0,54";"0,56";"0,59";"0,62";"0,68";"0,70";"0,73";"0,78";"0,81";"0,85";"0,88";"0,91";"0,92";"0,91";"0,92";"0,94";"0,95";
;"    Öffentliches Gesundheitswesen";"0,01";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,04";"0,04";"0,04";"0,04";"0,04";"0,04";"0,03";"0,04";"0,04";"0,03";
;"    Pathologie";"0,47";"0,55";"0,56";"0,59";"0,62";"0,65";"0,66";"0,67";"0,69";"0,73";"0,76";"0,79";"0,82";"0,84";"0,90";"0,92";"0,94";"0,96";"0,97";"0,99";"0,99";"1,02";
;"    Pharmakologie";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,03";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";
;"    Physikalische und Rehabilitative Medizin";"0,09";"0,29";"0,35";"0,43";"0,47";"0,48";"0,52";"0,56";"0,61";"0,65";"0,68";"0,72";"0,76";"0,80";"0,82";"0,86";"0,87";"0,89";"0,90";"0,90";"0,92";"0,92";
;"    Physiologie";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";
;"    Psychiatrie und Psychotherapie";"1,01";"1,47";"1,69";"1,98";"2,17";"2,35";"2,50";"2,68";"2,93";"3,10";"3,35";"3,61";"3,89";"4,08";"4,33";"4,43";"4,62";"4,80";"4,91";"5,03";"5,13";"5,35";
;"    Psychosomatische Medizin und Psychotherapie";"0,41";"2,62";"2,97";"3,34";"3,35";"3,44";"3,53";"3,63";"3,64";"3,64";"3,68";"3,72";"3,76";"3,78";"3,86";"3,82";"3,76";"3,77";"3,73";"3,69";"3,59";"3,55";
;"    Radiologie";"2,37";"2,84";"2,95";"3,00";"3,07";"3,11";"3,16";"3,23";"3,31";"3,42";"3,60";"3,70";"3,80";"3,96";"4,16";"4,25";"4,35";"4,45";"4,50";"4,59";"4,73";"4,91";
